Numero de Referencia	Animal de Referencia	Cantidad a Jugar	Numeros a Jugar (Orden de Probabilidad)
4	Alacrán	28	10, 30, 5, 27, 6, 34, 12, 29, 31, 13, 23, 19, 11, 16, 26, 28, 9, 32, 00, 18, 22, 0, 24, 7, 33, 8, 2, 15
32	Ardilla	21	12, 30, 34, 7, 22, 1, 23, 21, 24, 35, 33, 4, 19, 3, 20, 11, 16, 17, 6, 8, 26
¨00¨	Ballena	24	30, 31, 13, 17, 8, 9, 32, 20, 25, 21, 5, 7, 34, 15, 12, 23, 19, 35, 16, 14, 6, 10, 26, 28
18	Burro	25	1, 29, 5, 2, 32, 00, 22, 20, 24, 16, 4, 30, 19, 25, 11, 17, 8, 34, 15, 23, 3, 21, 13, 7, 33
12	Caballo	22	11, 0, 34, 30, 20, 25, 24, 17, 7, 6, 28, 32, 00, 1, 19, 3, 35, 31, 5, 10, 15, 9
30	Caiman	20	27, 19, 14, 17, 32, 18, 36, 0, 35, 13, 33, 26, 9, 00, 20, 21, 11, 31, 10, 2
22	Camello	19	9, 30, 24, 5, 27, 00, 36, 0, 29, 25, 16, 17, 33, 8, 1, 11, 35, 7, 15
1	Carnero	24	24, 9, 4, 32, 18, 21, 16, 00, 29, 25, 14, 8, 26, 30, 22, 3, 36, 11, 35, 31, 5, 17, 33, 15
23	Cebra	20	29, 7, 21, 31, 16, 34, 9, 00, 22, 19, 3, 0, 13, 14, 12, 24, 17, 6, 2, 15
19	Chivo	30	35, 12, 13, 8, 32, 31, 33, 28, 18, 30, 11, 14, 17, 7, 15, 9, 00, 22, 23, 19, 3, 36, 0, 25, 21, 16, 27, 6, 2, 26
3	Ciempiés	25	31, 00, 27, 1, 16, 26, 19, 20, 5, 13, 14, 10, 2, 32, 18, 24, 34, 28, 4, 0, 25, 35, 7, 8, 9
20	Cochino	29	35, 34, 00, 23, 3, 6, 8, 4, 11, 31, 16, 14, 27, 32, 18, 12, 22, 1, 19, 36, 29, 24, 13, 17, 7, 10, 26, 28, 9
36	Culebra	26	22, 32, 30, 11, 16, 10, 4, 23, 29, 14, 17, 18, 1, 19, 3, 20, 25, 35, 5, 13, 27, 33, 2, 34, 28, 15
0	Delfin	27	3, 36, 22, 29, 23, 19, 25, 5, 10, 32, 21, 24, 16, 17, 6, 8, 26, 9, 18, 12, 30, 1, 35, 13, 14, 7, 28
29	Elefante	28	24, 13, 17, 15, 9, 18, 1, 23, 21, 2, 32, 12, 19, 3, 20, 0, 25, 31, 7, 33, 10, 26, 4, 30, 16, 14, 27, 34
25	Gallina	24	12, 23, 6, 19, 36, 0, 33, 20, 31, 17, 2, 18, 30, 29, 5, 14, 8, 9, 4, 1, 11, 35, 13, 16
21	Gallo	25	26, 35, 13, 34, 36, 14, 28, 30, 20, 29, 24, 16, 17, 27, 33, 8, 10, 9, 4, 32, 00, 1, 25, 21, 7
11	Gato	23	19, 3, 24, 16, 14, 17, 10, 26, 28, 4, 32, 00, 35, 34, 9, 18, 30, 23, 20, 0, 25, 6, 15
24	Iguana	20	21, 00, 3, 36, 2, 1, 20, 25, 35, 8, 15, 4, 19, 31, 5, 16, 17, 26, 34, 28
35	Jirafa	16	21, 6, 34, 4, 12, 20, 27, 18, 24, 16, 7, 33, 32, 00, 3, 5
31	Lapa	23	2, 30, 0, 35, 7, 4, 00, 1, 5, 17, 12, 22, 3, 20, 29, 25, 21, 16, 6, 8, 28, 15, 9
5	León	16	12, 00, 9, 4, 32, 28, 19, 31, 7, 27, 26, 1, 0, 21, 24, 13
13	Mono	21	6, 1, 21, 11, 33, 8, 2, 12, 22, 20, 29, 5, 23, 3, 0, 35, 16, 14, 27, 34, 15
16	Oso	20	28, 6, 29, 5, 2, 12, 30, 22, 1, 3, 33, 15, 23, 36, 0, 21, 24, 35, 27, 26
14	Paloma	23	10, 32, 00, 22, 0, 25, 34, 12, 30, 24, 31, 5, 6, 8, 2, 23, 19, 3, 35, 16, 7, 26, 15
17	Pavo	21	13, 22, 23, 29, 25, 35, 9, 36, 31, 2, 00, 12, 30, 1, 21, 11, 5, 16, 14, 17, 15
7	Perico	26	33, 29, 25, 2, 00, 18, 1, 3, 36, 32, 21, 35, 13, 6, 28, 15, 4, 12, 30, 23, 0, 31, 5, 8, 10, 26
27	Perro	27	6, 26, 4, 22, 25, 16, 18, 12, 30, 1, 23, 19, 20, 0, 35, 13, 2, 00, 3, 24, 31, 14, 17, 7, 8, 34, 9
33	Pescado	30	1, 20, 4, 32, 18, 22, 36, 24, 17, 27, 8, 29, 35, 31, 5, 10, 2, 15, 00, 12, 30, 23, 19, 25, 21, 11, 13, 26, 34, 28
6	Rana	26	1, 32, 28, 23, 19, 20, 0, 5, 14, 10, 2, 4, 18, 3, 25, 31, 27, 26, 34, 00, 12, 24, 35, 13, 17, 8
8	Ratón	17	30, 31, 33, 0, 15, 22, 1, 3, 21, 13, 14, 26, 34, 28, 4, 19, 27
10	Tigre	24	12, 24, 7, 8, 19, 3, 29, 4, 18, 23, 31, 16, 2, 34, 28, 32, 00, 22, 0, 35, 17, 6, 26, 15
2	Toro	29	18, 23, 27, 8, 00, 1, 36, 13, 15, 32, 22, 3, 29, 25, 31, 5, 10, 28, 9, 19, 0, 21, 24, 35, 14, 17, 6, 2, 34
26	Vaca	29	17, 25, 7, 9, 00, 18, 23, 0, 11, 28, 4, 22, 36, 24, 31, 16, 33, 8, 15, 32, 30, 3, 21, 5, 13, 14, 6, 10, 34
34	Venado	19	23, 11, 9, 29, 18, 22, 25, 31, 13, 6, 28, 15, 12, 30, 24, 16, 7, 33, 8
28	Zamuro	28	12, 24, 32, 3, 29, 16, 27, 33, 8, 4, 22, 1, 23, 25, 11, 31, 13, 17, 6, 2, 15, 30, 19, 36, 35, 5, 7, 34
15	Zorro	28	36, 5, 4, 19, 31, 33, 8, 2, 32, 18, 1, 23, 20, 24, 17, 6, 26, 34, 00, 12, 30, 22, 0, 35, 13, 7, 10, 9
9	Águila	22	30, 00, 23, 21, 11, 35, 31, 13, 16, 27, 10, 26, 15, 4, 22, 3, 0, 24, 5, 14, 7, 34
